Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-07 20:00:00-05:00,749.5,750.5,748.5,749.0,0,0,0
2022-12-07 20:05:00-05:00,748.75,749.25,748.5,749.25,31,0,0
2022-12-07 20:10:00-05:00,748.75,749.25,748.25,748.5,35,0,0
2022-12-07 20:15:00-05:00,748.25,748.5,747.75,748.5,20,0,0
2022-12-07 20:20:00-05:00,748.5,748.75,748.25,748.5,4,0,0
2022-12-07 20:25:00-05:00,748.75,749.75,748.5,749.0,55,0,0
2022-12-07 20:30:00-05:00,749.25,749.25,748.25,748.25,44,0,0
2022-12-07 20:35:00-05:00,749.25,749.25,748.75,749.0,6,0,0
2022-12-07 20:40:00-05:00,749.0,749.0,749.0,749.0,4,0,0
2022-12-07 20:45:00-05:00,748.75,748.75,747.25,747.75,29,0,0
2022-12-07 20:50:00-05:00,747.5,747.5,747.25,747.25,3,0,0
2022-12-07 20:55:00-05:00,747.25,748.0,747.25,748.0,7,0,0
2022-12-07 21:00:00-05:00,748.0,748.25,747.5,747.75,17,0,0
2022-12-07 21:05:00-05:00,747.5,748.25,747.5,747.75,11,0,0
2022-12-07 21:10:00-05:00,747.5,747.75,747.25,747.25,13,0,0
2022-12-07 21:15:00-05:00,747.5,747.5,747.0,747.0,10,0,0
2022-12-07 21:20:00-05:00,747.5,748.0,747.25,747.25,6,0,0
2022-12-07 21:30:00-05:00,747.25,748.25,747.25,747.75,11,0,0
2022-12-07 21:35:00-05:00,747.25,747.5,747.25,747.5,5,0,0
2022-12-07 21:40:00-05:00,747.25,748.75,747.25,748.75,23,0,0
2022-12-07 21:45:00-05:00,748.5,748.5,748.5,748.5,4,0,0
2022-12-07 21:50:00-05:00,748.0,748.25,748.0,748.25,8,0,0
2022-12-07 21:55:00-05:00,748.25,748.75,748.25,748.75,2,0,0
2022-12-07 22:00:00-05:00,748.25,748.75,748.0,748.0,6,0,0
2022-12-07 22:05:00-05:00,748.0,748.0,747.5,747.75,4,0,0
2022-12-07 22:10:00-05:00,747.25,748.0,747.25,748.0,20,0,0
2022-12-07 22:15:00-05:00,747.75,747.75,747.75,747.75,1,0,0
2022-12-07 22:30:00-05:00,747.5,747.5,747.5,747.5,3,0,0
2022-12-07 22:35:00-05:00,747.75,748.25,747.25,747.75,38,0,0
2022-12-07 22:40:00-05:00,747.25,747.25,747.25,747.25,1,0,0
2022-12-07 22:45:00-05:00,747.25,748.0,747.25,747.5,11,0,0
2022-12-07 22:50:00-05:00,747.5,748.25,747.25,748.25,7,0,0
2022-12-07 22:55:00-05:00,748.0,748.0,748.0,748.0,3,0,0
2022-12-07 23:00:00-05:00,748.5,748.75,748.5,748.75,7,0,0
2022-12-07 23:05:00-05:00,748.25,748.25,748.25,748.25,6,0,0
2022-12-07 23:10:00-05:00,748.25,748.25,748.0,748.0,3,0,0
2022-12-07 23:15:00-05:00,747.75,748.5,747.75,748.5,8,0,0
2022-12-07 23:25:00-05:00,748.5,748.5,748.5,748.5,1,0,0
2022-12-07 23:30:00-05:00,749.0,749.0,748.5,748.5,7,0,0
2022-12-07 23:35:00-05:00,748.75,748.75,748.0,748.0,34,0,0
2022-12-07 23:40:00-05:00,748.0,748.0,748.0,748.0,1,0,0
2022-12-07 23:45:00-05:00,747.75,747.75,746.5,746.75,84,0,0
2022-12-07 23:50:00-05:00,746.75,746.75,745.5,745.75,161,0,0
2022-12-07 23:55:00-05:00,746.0,746.0,745.75,745.75,15,0,0
2022-12-08 00:00:00-05:00,745.5,745.75,745.5,745.5,9,0,0
2022-12-08 00:05:00-05:00,745.5,745.5,745.5,745.5,2,0,0
2022-12-08 00:10:00-05:00,745.5,745.75,745.0,745.25,28,0,0
2022-12-08 00:15:00-05:00,745.5,745.5,745.5,745.5,2,0,0
2022-12-08 00:20:00-05:00,745.25,745.5,745.25,745.25,6,0,0
2022-12-08 00:25:00-05:00,745.75,746.0,745.5,745.5,24,0,0
